sentence,cluster
I thought I would give them another try since I'd never ordered a Sicilian pizza from there.,2
CORIOLANUS: Why then should I be consul?,1
"With a kind of smile, Which ne'er came from the lungs, but even thus-- For, look you, I may make the belly smile As well as speak--it tauntingly replied To the discontented members, the mutinous parts That envied his receipt; even so most fitly As you malign our senators for that They are not such as you.",1
"AUFIDIUS: If I fly, Marcius, Holloa me like a hare.",1
Classic breakfast joint.,2
"Driving by Papa J's and W says, lets stop in and get a quick dinner.",2
"New York (CNN) -- More than 80 Michael Jackson collectibles -- including the late pop star's famous rhinestone-studded glove from a 1983 performance -- were auctioned off Saturday, reaping a total $2 million.",2
"Instead, the meal that was delivered to both of us was trout with a heaping pile of spinach and mushrooms.",2
"See, our best elders.",1
"Best breakfast spot in the area, If you like diner food it is the place to go.",2
"He said they had a decent Reuben, but to be prepared to step back in time. Well, seeing as how I'm kind of addicted to late 40's and early 50's, and the whole Rat Pack scene, stepping back in time is a welcomed change in da burgh...as long as it doesn't involve 1979, which I can see all around me every day. And yet another shot at finding a decent Reuben in da burgh...well, that's like hunting the Holy Grail.",2
Pittsburgh ambiance.,2
SICINIUS: Fare you well.,1
Great people.,2
"MENENIUS: Well, no more.",1
The server then said he would have the meals re-made.,2
CORIOLANUS: Think upon me!,1
"All: To the pot, I warrant him.",1
Just mud.,2
Don't waste your time.,2
"Rather than a thank you or a sorry, he just speeds off (breaking the speed limit on our block) to reach his destination 50 feet away. I would call to complain, but based on the other reviews, its clear the owners do not care about Carnegie or it's residents, and its pretty well known around town just how awful their food is, so it would be pointless to boycott a place I'd never order from again anyway. Do yourself a favor and order from ANY other establishment in town.",2
The building is in a strip mall across from Carnegie Coffee Company.,2
"In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published.",4
"She said """"yep"""" and then abruptly turned and walked away.",2
"VOLUMNIA: Ay, worthy Menenius; and with most prosperous approbation.",1
"MENENIUS: Not according to the prayer of the people, for they love not Marcius.",1
"When the city is really smoggy, you can't see the near-by Mountains.",2
"MARCIUS: They have a leader, Tullus Aufidius, that will put you to 't.",1
"The atmosphere was pleasant in that 'blue collar bar' kind of way, and the staff was very nice, but not a winning pitch on the Reuben. The second trip was after a long day of moving furniture with the same friend.",2
"I am no range expert, but this is the 4th one I've been to and the first I've seen of that sort of nickel and diming.... Price for the golf balls was reasonable and I do plan to be back every week until they close up in October for the season.",2
My expectations for McDonalds are t rarely high.,2
"In 2005, the nephew of the original rescuer found the puppets in a family attic and brought them to be appraised on the PBS series 'Antiques Roadshow,' the Times said.",2
"What authority surfeits on would relieve us: if they would yield us but the superfluity, while it were wholesome, we might guess they relieved us humanely; but they think we are too dear: the leanness that afflicts us, the object of our misery, is as an inventory to particularise their abundance; our sufferance is a gain to them Let us revenge this with our pikes, ere we become rakes: for the gods know I speak this in hunger for bread, not in thirst for revenge.",1
"BRUTUS: Sir, I hope My words disbench'd you not.",1
"'Tis not four days gone Since I heard thence; these are the words: I think I have the letter here; yes, here it is.",1
Trying to get your 90 days mail away pharmacy prescriptions through this guy is a joke.,2
I'll be sworn they are true.,1
To recap: Murphy's Pour House from 1979-1985.,2
"Citizens: No, no; no man saw 'em.",1
"Hoffman Ma, who bought the glove on behalf of Ponte 16 Resort in Macau, paid a 25 percent buyer's premium, which was tacked onto all final sales over $50,000.",2
