ID	Sentence
1	I thought I would give them another try since I'd never ordered a Sicilian pizza from there.
2	CORIOLANUS: Why then should I be consul?
3	With a kind of smile, Which ne'er came from the lungs, but even thus-- For, look you, I may make the belly smile As well as speak--it tauntingly replied To the discontented members, the mutinous parts That envied his receipt; even so most fitly As you malign our senators for that They are not such as you.
4	AUFIDIUS: If I fly, Marcius, Holloa me like a hare.
5	Classic breakfast joint.
6	Driving by Papa J's and W says, lets stop in and get a quick dinner.
7	New York (CNN) -- More than 80 Michael Jackson collectibles -- including the late pop star's famous rhinestone-studded glove from a 1983 performance -- were auctioned off Saturday, reaping a total $2 million.
8	Instead, the meal that was delivered to both of us was trout with a heaping pile of spinach and mushrooms.
9	See, our best elders.
10	Best breakfast spot in the area, If you like diner food it is the place to go.
11	He said they had a decent Reuben, but to be prepared to step back in time.\n\nWell, seeing as how I'm kind of addicted to late 40's and early 50's, and the whole Rat Pack scene, stepping back in time is a welcomed change in da burgh...as long as it doesn't involve 1979, which I can see all around me every day.\n\nAnd yet another shot at finding a decent Reuben in da burgh...well, that's like hunting the Holy Grail.
12	Pittsburgh ambiance.
13	SICINIUS: Fare you well.
14	Great people.
15	MENENIUS: Well, no more.
16	The server then said he would have the meals re-made.
17	CORIOLANUS: Think upon me!
18	All: To the pot, I warrant him.
19	Just mud.
20	Don't waste your time.
21	Rather than a thank you or a sorry, he just speeds off (breaking the speed limit on our block) to reach his destination 50 feet away.\n\nI would call to complain, but based on the other reviews, its clear the owners do not care about Carnegie or it's residents, and its pretty well known around town just how awful their food is, so it would be pointless to boycott a place I'd never order from again anyway.\n\nDo yourself a favor and order from ANY other establishment in town.
22	The building is in a strip mall across from Carnegie Coffee Company.
23	In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published.
24	She said \""yep\"" and then abruptly turned and walked away.
25	VOLUMNIA: Ay, worthy Menenius; and with most prosperous approbation.
26	MENENIUS: Not according to the prayer of the people, for they love not Marcius.
